date,feature,ic
2024-05-31,Mom_6_1,0.09491666959670897
2024-05-31,Mom_1,-0.1318255335607046
2024-05-31,Vol_12,0.005881473928483527
2024-05-31,IdioVol,0.002032277346084877
2024-05-31,Beta_12,0.037400232059350925
2024-05-31,High52W,-0.1032110333673218
2024-05-31,Trend_MA,0.048736858760240497
2024-05-31,MaxRet_1M,0.0424782883864843
2024-05-31,PB_ratio,
2024-05-31,PE_TTM,
2024-05-31,EV_EBITDA,
2024-05-31,ROE,
2024-05-31,GrossMargin,
2024-05-31,CashFlowYield,
2024-05-31,RevGrowth_YoY,
2024-05-31,EarnGrowth_YoY,
2024-05-31,LogMktCap,
2024-05-31,VolRatio,-0.07140044302239723
2024-06-30,Mom_12_1,-0.16906930136071163
2024-06-30,Mom_6_1,-0.21254878520445833
2024-06-30,Mom_1,-0.05195316620371997
2024-06-30,Vol_12,-0.09125470271790724
2024-06-30,IdioVol,-0.15806757849583347
2024-06-30,Beta_12,-0.056572377905136945
2024-06-30,High52W,0.02659933107008768
2024-06-30,Trend_MA,-0.15610210611441228
2024-06-30,MaxRet_1M,-0.2521096304630639
2024-06-30,PB_ratio,
2024-06-30,PE_TTM,
2024-06-30,EV_EBITDA,
2024-06-30,ROE,
2024-06-30,GrossMargin,
2024-06-30,CashFlowYield,
2024-06-30,RevGrowth_YoY,
2024-06-30,EarnGrowth_YoY,
2024-06-30,LogMktCap,
2024-06-30,VolRatio,-0.0741754860940192
2024-07-31,Mom_12_1,0.1252724939348124
2024-07-31,Mom_6_1,0.1192758693435533
2024-07-31,Mom_1,0.0372086072922893
2024-07-31,Vol_12,-0.17739179353749865
2024-07-31,IdioVol,
2024-07-31,Beta_12,-0.08578900179318588
2024-07-31,High52W,
2024-07-31,Trend_MA,
2024-07-31,MaxRet_1M,-0.24327818993706268
2024-07-31,PB_ratio,
2024-07-31,PE_TTM,
2024-07-31,EV_EBITDA,
2024-07-31,ROE,
2024-07-31,GrossMargin,
2024-07-31,CashFlowYield,
2024-07-31,RevGrowth_YoY,
2024-07-31,EarnGrowth_YoY,
2024-07-31,LogMktCap,
2024-07-31,VolRatio,-0.21249516543018881
2024-08-31,Mom_12_1,-0.00872859604092683
2024-08-31,Mom_6_1,-0.09779719419148411
2024-08-31,Mom_1,-0.06448788720509123
2024-08-31,Vol_12,0.012582187686790196
2024-08-31,IdioVol,-0.034459055588762694
2024-08-31,Beta_12,0.0896047958932527
2024-08-31,High52W,-0.022501692603631936
2024-08-31,Trend_MA,-0.03375584543440807
2024-08-31,MaxRet_1M,0.05330069266200204
2024-08-31,PB_ratio,
2024-08-31,PE_TTM,
2024-08-31,EV_EBITDA,
2024-08-31,ROE,
2024-08-31,GrossMargin,
2024-08-31,CashFlowYield,
2024-08-31,RevGrowth_YoY,
2024-08-31,EarnGrowth_YoY,
2024-08-31,LogMktCap,
2024-08-31,VolRatio,-0.0199456770155761
2024-09-30,Mom_12_1,0.13177191378643507
2024-09-30,Mom_6_1,0.09750360395204105
2024-09-30,Mom_1,0.0874828592524876
2024-09-30,Vol_12,-0.14110878661087864
2024-09-30,IdioVol,
2024-09-30,Beta_12,-0.08318712422207376
2024-09-30,High52W,
2024-09-30,Trend_MA,
2024-09-30,MaxRet_1M,-0.1141116697725115
2024-09-30,PB_ratio,
2024-09-30,PE_TTM,
2024-09-30,EV_EBITDA,
2024-09-30,ROE,
2024-09-30,GrossMargin,
2024-09-30,CashFlowYield,
2024-09-30,RevGrowth_YoY,
2024-09-30,EarnGrowth_YoY,
2024-09-30,LogMktCap,
2024-09-30,VolRatio,0.009317534545198833
2024-10-31,Mom_12_1,0.08954238599205372
2024-10-31,Mom_6_1,0.01369325973067051
2024-10-31,Mom_1,0.12651014380647657
2024-10-31,Vol_12,0.04089254948841461
2024-10-31,IdioVol,0.022297914981892333
2024-10-31,Beta_12,0.07455258253929187
2024-10-31,High52W,0.12822412700298413
2024-10-31,Trend_MA,0.1276642874723111
2024-10-31,MaxRet_1M,0.0671372314616223
2024-10-31,PB_ratio,
2024-10-31,PE_TTM,
2024-10-31,EV_EBITDA,
2024-10-31,ROE,
2024-10-31,GrossMargin,
2024-10-31,CashFlowYield,
2024-10-31,RevGrowth_YoY,
2024-10-31,EarnGrowth_YoY,
2024-10-31,LogMktCap,
2024-10-31,VolRatio,0.05662160261594177
2024-11-30,Mom_12_1,-0.02061636370029183
2024-11-30,Mom_6_1,0.07207112970711296
2024-11-30,Mom_1,0.027892830772476354
2024-11-30,Vol_12,0.03088147392848353
2024-11-30,IdioVol,0.02963151787911817
2024-11-30,Beta_12,0.08688073555782144
2024-11-30,High52W,-0.00147674781455935
2024-11-30,Trend_MA,-0.0020393094476284235
2024-11-30,MaxRet_1M,-0.057637741288984204
2024-11-30,PB_ratio,
2024-11-30,PE_TTM,
2024-11-30,EV_EBITDA,
2024-11-30,ROE,
2024-11-30,GrossMargin,
2024-11-30,CashFlowYield,
2024-11-30,RevGrowth_YoY,
2024-11-30,EarnGrowth_YoY,
2024-11-30,LogMktCap,
2024-11-30,VolRatio,-0.06900073837066208
2024-12-31,Mom_12_1,0.2648641046376709
2024-12-31,Mom_6_1,0.23844713617664634
2024-12-31,Mom_1,0.22123255159804506
2024-12-31,Vol_12,-0.007403923912661298
2024-12-31,IdioVol,
2024-12-31,Beta_12,0.005353187300024612
2024-12-31,High52W,
2024-12-31,Trend_MA,
2024-12-31,MaxRet_1M,0.1779552406736753
2024-12-31,PB_ratio,
2024-12-31,PE_TTM,
2024-12-31,EV_EBITDA,
2024-12-31,ROE,
2024-12-31,GrossMargin,
2024-12-31,CashFlowYield,
2024-12-31,RevGrowth_YoY,
2024-12-31,EarnGrowth_YoY,
2024-12-31,LogMktCap,
2024-12-31,VolRatio,0.2153712949614992
2025-01-31,Mom_12_1,0.005681059034492457
2025-01-31,Mom_6_1,0.07984775500158223
2025-01-31,Mom_1,-0.16737368587602403
2025-01-31,Vol_12,-0.19400073837066206
2025-01-31,IdioVol,-0.2397287366829577
2025-01-31,Beta_12,-0.07287630533384902
2025-01-31,High52W,0.09701838894553637
2025-01-31,Trend_MA,-0.02614886958967687
2025-01-31,MaxRet_1M,-0.20733272388453286
2025-01-31,PB_ratio,
2025-01-31,PE_TTM,
2025-01-31,EV_EBITDA,
2025-01-31,ROE,
2025-01-31,GrossMargin,
2025-01-31,CashFlowYield,
2025-01-31,RevGrowth_YoY,
2025-01-31,EarnGrowth_YoY,
2025-01-31,LogMktCap,
2025-01-31,VolRatio,0.1190420519672304
2025-02-28,Mom_12_1,-0.2404591962307936
2025-02-28,Mom_6_1,-0.25775113392637383
2025-02-28,Mom_1,-0.09258552793502338
2025-02-28,Vol_12,-0.36491245033578285
2025-02-28,IdioVol,-0.3661685594739988
2025-02-28,Beta_12,-0.1404398579515488
2025-02-28,High52W,-0.0006052382791541564
2025-02-28,Trend_MA,-0.2160938433950986
2025-02-28,MaxRet_1M,-0.2036865792342041
2025-02-28,PB_ratio,-0.11201676907672002
2025-02-28,PE_TTM,
2025-02-28,EV_EBITDA,
2025-02-28,ROE,0.03464186348991894
2025-02-28,GrossMargin,-0.04422149962733512
2025-02-28,CashFlowYield,0.02490857518414972
2025-02-28,RevGrowth_YoY,
2025-02-28,EarnGrowth_YoY,
2025-02-28,LogMktCap,0.12343739144616458
2025-02-28,VolRatio,0.09603389472943988
2025-03-31,Mom_12_1,0.20818097113322315
2025-03-31,Mom_6_1,0.22120354417917792
2025-03-31,Mom_1,-0.07369730318905805
2025-03-31,Vol_12,0.055209908231074856
2025-03-31,IdioVol,-0.012855560634295559
2025-03-31,Beta_12,0.08669350585422451
2025-03-31,High52W,0.06432737243585579
2025-03-31,Trend_MA,0.1526220948630498
2025-03-31,MaxRet_1M,0.007768714180232762
2025-03-31,PB_ratio,0.26208823884545723
2025-03-31,PE_TTM,
2025-03-31,EV_EBITDA,
2025-03-31,ROE,0.03248110702073279
2025-03-31,GrossMargin,0.13796254723349893
2025-03-31,CashFlowYield,-0.11365275417796979
2025-03-31,RevGrowth_YoY,
2025-03-31,EarnGrowth_YoY,
2025-03-31,LogMktCap,0.1645002595950235
2025-03-31,VolRatio,-0.15051158538729298
2025-04-30,Mom_12_1,0.1867664639077388
2025-04-30,Mom_6_1,0.2271201786153792
2025-04-30,Mom_1,-0.35565468865370414
2025-04-30,Vol_12,0.18477637917091522
2025-04-30,IdioVol,0.1346216729369572
2025-04-30,Beta_12,0.2862434513554376
2025-04-30,High52W,-0.18662576309805043
2025-04-30,Trend_MA,-0.06081185612320241
2025-04-30,MaxRet_1M,0.23534422137055655
2025-04-30,PB_ratio,-0.030137087584929504
2025-04-30,PE_TTM,
2025-04-30,EV_EBITDA,
2025-04-30,ROE,-0.028127419682270213
2025-04-30,GrossMargin,0.052713655975698305
2025-04-30,CashFlowYield,-0.0242177413308025
2025-04-30,RevGrowth_YoY,
2025-04-30,EarnGrowth_YoY,
2025-04-30,LogMktCap,0.008813010784352475
2025-04-30,VolRatio,0.19651031960901513
2025-05-31,Mom_12_1,-0.24026757146373193
2025-05-31,Mom_6_1,-0.30140642030870923
2025-05-31,Mom_1,0.018448718399493684
2025-05-31,Vol_12,0.3375101086459688
2025-05-31,IdioVol,0.3239249674765303
2025-05-31,Beta_12,0.37625610913821594
2025-05-31,High52W,-0.3971312516537975
2025-05-31,Trend_MA,-0.2984529376604198
2025-05-31,MaxRet_1M,0.6033595865124293
2025-05-31,PB_ratio,-0.20451702857137757
2025-05-31,PE_TTM,
2025-05-31,EV_EBITDA,
