params,score
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.06281650417159282
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.06248777893509417
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.06413743645698397
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.06489167631337822
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.06983353374585533
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.07041260501019006
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.07164345254503883
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.06474013842941294
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.06333549618538627
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.07106361308507231
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.0722515394675666
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.06872511659245117
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.07070240318029536
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.08395966432730025
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.08621302299497631
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.0890327105020946
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.06696149660040991
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.0706983550735039
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.074510070280136
